,Cho.bru,Cho.mol,Cho.big,Pse.par,Oed.cae,Pla.alb,Cho.dor,Ste.lin,Myr.mac,Cal.ita,Cho.apr,Lep.pun,Bic.bic,Tet.vir,Con.dis,Con.dor,Roe.roe,Pha.fal,Chr.dis,Dec.ver
1,7,34,37,1,1,0,2,0,1,0,4,2,0,0,2,0,1,0,0,0
2,9,37,0,0,2,2,0,0,11,5,0,0,0,2,0,0,0,0,0,0
3,5,6,10,5,0,0,0,0,0,0,2,3,1,0,0,0,8,0,0,0
4,8,35,17,8,0,1,14,2,3,2,6,0,1,4,0,0,5,0,0,0
5,34,15,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
6,53,32,45,1,4,2,0,1,0,0,0,0,3,3,0,0,0,0,0,0
7,15,36,16,5,2,5,2,9,20,1,0,1,2,0,12,0,0,1,5,3
8,32,8,0,6,3,1,1,4,10,0,1,0,0,1,1,1,0,0,0,0
9,0,14,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0
10,12,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,38,42,33,22,5,1,24,10,2,4,0,0,10,1,4,2,0,1,0,1
12,12,27,63,22,0,2,33,10,0,0,1,1,0,0,3,0,2,0,0,0
13,23,31,3,6,2,0,14,0,0,0,1,0,0,3,0,8,9,0,0,0
14,32,13,8,4,2,2,2,0,9,3,2,1,0,2,1,0,0,0,0,0
15,31,36,9,5,4,2,0,1,3,2,1,0,9,0,0,0,0,0,0,0
16,8,26,25,16,6,2,2,13,0,3,0,0,0,0,5,4,0,1,0,14
17,6,14,61,11,0,0,1,1,1,4,3,4,0,0,0,0,0,0,0,0
18,43,15,39,0,5,3,0,2,0,2,0,1,1,0,0,0,0,0,0,0
19,22,17,37,15,1,2,0,3,0,0,0,0,0,2,0,0,0,0,0,0
20,23,42,10,2,10,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,61,41,39,16,8,12,12,5,1,8,3,1,4,0,3,1,0,0,1,0
22,13,63,0,0,1,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0
