;Total_rooting;Fresh_rooting;Old_rooting;Freq_occurrence_wild_boar;Cover_herb;Cover_litter;Height_herbs;Group_rooting_old
1;8.3;1.43;6.87;0.016949153;40;30;25;low
2;85.9;3.63;82.27;0.4;45;3;5;high
3;31.2;9.5;21.7;0;70;30;30;low
4;77.77;5.93;71.83;0;60;10;0;high
5;18.43;5.3;13.13;0.290322581;50;60;20;low
6;46.9;11.23;35.67;0.030519481;40;20;10;high
7;102.33;15.57;86.77;0.172131148;75;5;5;high
8;43.8;5.23;38.57;0.207142857;60;20;5;high
9;39.17;18.6;20.57;0.121428571;25;5;10;low
10;28.9;11.67;17.23;0.014285714;50;50;20;low
11;37.37;0;37.37;0.123104857;90;5;15;high
12;37.87;8.47;29.4;0.133333333;95;5;10;low
13;46.57;10.2;54.55;0.15;60;3;20;high
14;84.23;6.57;77.67;0.065873016;30;5;10;high
15;45.63;7.37;38.27;0.178571429;60;20;10;high
16;11.03;2.03;9;0;70;10;10;low
17;26.83;14.3;12.53;0.007142857;60;15;25;low
18;37.4;7.27;30.13;0.123104857;50;10;25;low
19;19;2.2;16.8;0.085714286;25;3;20;low
20;38.2;7.8;30.4;0.1;60;40;20;high
21;64.97;6.3;58.67;0.3125;62;30;10;high
22;0.4;0.4;0;0.123104857;30;5;5;low
