X;Sp_richness;Dry_grassland_Sp_richness;Neophyt_Sp_richness;RL_Sp_richness;Div_simpson;Proportion_Dry_Grassland_Spec;Proportion_Neobiota;Proportion_Rl_b_123GV;Total_rooting;Fresh_rooting;Old_rooting;Freq_occurrence_wild_boar;Cover_herb;Cover_litter;Height_herbs
1;31;7;1;2;0.901954354;0.11969112;0.019305019;0.057915058;8.3;1.43;6.87;0.016949153;40;30;25
2;29;10;3;0;0.668919183;0.785198556;0.02166065;0;85.9;3.63;82.27;0.4;45;3;5
3;43;9;2;2;0.880105236;0.130481283;0.011764706;0.022459893;31.2;9.5;21.7;0;70;30;30
4;35;7;4;1;0.7370496;0.5936;0.064;0.016;77.77;5.93;71.83;0;60;10;0
5;39;9;6;0;0.888989528;0.107913669;0.051558753;0;18.43;5.3;13.13;0.290322581;50;60;20
6;25;8;1;1;0.809607385;0.394052045;0.018587361;0.018587361;46.9;11.23;35.67;0.030519481;40;20;10
7;29;13;4;0;0.693692022;0.862337662;0.028571429;0;102.33;15.57;86.77;0.172131148;75;5;5
8;16;8;0;0;0.734843676;0.814479638;0;0;43.8;5.23;38.57;0.207142857;60;20;5
9;19;9;0;0;0.873981815;0.626062323;0;0;39.17;18.6;20.57;0.121428571;25;5;10
10;43;11;2;7;0.881915345;0.407506702;0.002680965;0.109919571;28.9;11.67;17.23;0.014285714;50;50;20
11;24;11;2;3;0.827348653;0.658301158;0.010617761;0.116795367;37.37;0;37.37;NA;90;5;15
12;41;10;2;5;0.871255165;0.244318182;0.008928571;0.114448052;37.87;8.47;29.4;0.133333333;95;5;10
13;27;7;2;1;0.875557588;0.395884774;0.172839506;0.164609053;46.57;10.2;54.55;0.15;60;3;20
14;19;9;1;0;0.763745152;0.781052632;0.002105263;0;84.23;6.57;77.67;0.065873016;30;5;10
15;26;10;3;2;0.674167313;0.786610879;0.029288703;0.057182706;45.63;7.37;38.27;0.178571429;60;20;10
16;20;9;3;4;0.804020577;0.781426954;0.023782559;0.158550396;11.03;2.03;9;0;70;10;10
17;39;10;4;1;0.875564986;0.210912907;0.023084995;0.020986359;26.83;14.3;12.53;0.007142857;60;15;25
18;31;14;2;1;0.762162708;0.772370487;0.017268446;0.062794349;37.4;7.27;30.13;NA;50;10;25
19;19;8;0;2;0.864156428;0.464367816;0;0.025287356;19;2.2;16.8;0.085714286;25;3;20
20;31;13;3;1;0.872294016;0.31092437;0.295518207;0.014005602;38.2;7.8;30.4;0.1;60;40;20
21;40;12;2;2;0.891989452;0.371483996;0.010669253;0.010669253;64.97;6.3;58.67;0.3125;62;30;10
22;22;12;3;1;0.920567558;0.787037037;0.055555556;0.092592593;0.4;0.4;0;NA;30;5;5
